link_id,from_node,to_node,length_km,max_speed_kmh,free_flow_time_min,capacity_veh_h,flow_veh_h,v_c_ratio,travel_time,additional_delay_min
1,A,B,10.0,30.0,20.0,1800.0,2500.0,1.3888888888888888,114.13580246913578,94.13580246913578
1000,B,A,10.0,30.0,20.0,1800.0,2000.0,1.1111111111111112,89.1358024691358,69.1358024691358
2,B,C,10.0,60.0,10.0,3600.0,1592.143190039074,0.4422619972330761,20.80119668662742,10.80119668662742
2000,C,B,10.0,60.0,10.0,3600.0,796.071595019537,0.22113099861653804,14.91160915782223,4.91160915782223
3,B,D,10.0,30.0,20.0,1800.0,500.0,0.2777777777777778,32.65432098765431,12.654320987654309
3000,D,B,10.0,30.0,20.0,1800.0,1000.0,0.5555555555555556,48.39506172839506,28.395061728395063
4,B,E,14.142135623730951,30.0,28.284271247461902,1800.0,407.85680996092555,0.22658711664495865,42.55413735941743,14.26986611195553
4000,E,B,14.142135623730951,30.0,28.284271247461902,1800.0,203.92840498046277,0.11329355832247932,35.056163509633926,6.771892262172024
5,C,E,10.0,60.0,10.0,3600.0,1592.143190039074,0.4422619972330761,20.80119668662742,10.80119668662742
5000,E,C,10.0,60.0,10.0,3600.0,796.071595019537,0.22113099861653804,14.91160915782223,4.91160915782223
6,E,F,10.0,30.0,20.0,1800.0,2500.0,1.3888888888888888,114.13580246913578,94.13580246913578
6000,F,E,10.0,30.0,20.0,1800.0,2000.0,1.1111111111111112,89.1358024691358,69.1358024691358
7,D,G,10.0,30.0,20.0,1800.0,1500.0,0.8333333333333334,67.22222222222223,47.22222222222223
7000,G,D,10.0,30.0,20.0,1800.0,1500.0,0.8333333333333334,67.22222222222223,47.22222222222223
8,D,E,10.0,30.0,20.0,1800.0,500.0,0.2777777777777778,32.65432098765431,12.654320987654309
8000,E,D,10.0,30.0,20.0,1800.0,1000.0,0.5555555555555556,48.39506172839506,28.395061728395063
